OBJECTID,DISTRICT,SCHOOLAREA,SHAPE_Length,SHAPE_Area,DISTRICTNAME
32,41-4,0.7529732,21154.1565087268,20991604.0255836,LENNOX
33,41-4,0.35656851,15859.1978935015,9940519.84538519,LENNOX
34,41-4,0.24003636,12254.1692465479,6691802.90829116,LENNOX
35,41-4,0.2366671,10288.6377087711,6597873.69096405,LENNOX
36,41-4,0.05134347,4809.84797090628,1431368.11622222,LENNOX
37,41-4,0.02741998,3719.46181366099,764422.089072216,LENNOX
38,41-4,0.016132,2641.96694753368,436062.135131893,LENNOX
39,41-4,0.00828436,1977.71402022502,216925.675724649,LENNOX
40,41-4,0.00512596,1686.87188200391,141659.705548068,LENNOX
41,41-4,0.00468445,1710.79652258283,130594.453184759,LENNOX
42,41-4,0.00395841,1437.82186666086,110353.799530092,LENNOX
43,41-4,0.00312276,1376.8453230335,87057.2013064742,LENNOX
44,41-4,0.00272164,1133.47940024447,75874.6875049434,LENNOX
45,41-4,0.00206194,959.850080053795,57483.4604709967,LENNOX
46,41-4,0.00157745,862.711401818549,43976.5441349365,LENNOX
47,41-5,0.30187165,13002.2345326414,8415664.82883271,TEA
48,41-5,0.30143957,15872.5569551453,8403619.30281841,TEA
49,41-5,0.25156885,10593.1439117768,7013309.07045046,TEA
50,41-5,0.25043354,10569.1676714544,6981658.42179799,TEA
51,41-5,0.24922181,10543.9248877658,6947877.62369587,TEA
52,41-5,0.22449706,10570.6504209987,6258593.769192,TEA
53,41-5,0.2226653,12325.2130837774,6207527.36235521,TEA
54,41-5,0.22153915,9959.11013710704,6176132.3169482,TEA
55,41-5,0.1760871,9982.80930996666,4909006.88846733,TEA
56,41-5,0.12542255,7930.9324374895,3496566.09405788,TEA
57,41-5,0.05637906,5794.44861661697,1571751.65336605,TEA
58,41-5,0.04446175,5212.3130207792,1239517.40376097,TEA
59,41-5,0.01552679,2716.51871016048,432860.296432507,TEA
60,41-5,0.00527287,1831.99667542164,146998.608734828,TEA
61,41-5,0.00314118,1333.26015895195,87570.7528434084,TEA
62,41-5,0.00188177,949.655307803647,52460.6244712085,TEA
63,60-1,30.65903171,213360.589565513,854721330.618637,CENTERVILLE
64,60-1,0.25185711,10599.2521261216,7021345.04729241,CENTERVILLE
65,60-1,0.25085982,10578.8867557091,6993542.32751233,CENTERVILLE
66,60-1,0.11222691,7940.7500663326,3128694.15572977,CENTERVILLE
67,41-2,0.56430058,18513.8910655042,15731734.4484356,HARRISBURG
68,41-2,0.51558696,17151.1168954018,14373681.954406,HARRISBURG
69,41-2,0.43795266,18469.7323800116,12209370.490897,HARRISBURG
70,41-2,0.24882719,13085.783903989,6936876.17379982,HARRISBURG
71,41-2,0.01092265,2211.21864937382,304504.672872835,HARRISBURG
77,41-5,0.07098058,12575.7217952071,1978816.96537216,TEA
78,49-6,147.64165839,497098.918688847,4115625292.95037,TRI-VALLEY
82,49-3,161.05637071,632922.44423644,4489975964.6593,DELL RAPIDS
